id,popularity
05xCuVFQTq9glGS0j67y6d,33
05xDRF7xqBHavEvSiYokcO,27
05y63nsti7WpAVys68ADwi,40
060WwU9cva7KOpMhZAJjT6,39
060aWWmC9CrLqbhzHQifQf,58
0620OecAlwJQxWieRW4L9s,52
062qh9OokAJELidbTxVSba,40
0636RATCyff7cb6ImbxVSc,38
0637ix1edWOCcpAcqGpMKB,0
063lgLAm6mwLaTbKerUL19,42
063vnKUM9woKyTGWTF30Nb,0
064NEtcV4JQqGxAtfqvRfI,3
06A0R2235eGFfyqHbvSSBc,0
06AVpLCcfRBHuDyQosPfR3,36
06ClI3XK2FPR5uP8tPcFS1,55
06DSI8L6IT8SizCw3JLckz,54
06DVnefYLJ8rXRzsJcdujr,35
06DaCxeg3IUMcxDkKEyQKf,0
06EImdwFOTUtJAdmDeTiR4,43
06EL94D0TA27Ik0Ke5usbj,68
06EYeMQY1wmjHfMr3mDT0M,0
06EgH8BdWW9QRrlI6ZVQhW,64
06EmqZJolHpHSwNKLHVmqB,47
06EoiPK0mH3PHxH2BKNAJx,0
06F57Szq2wCGlMH4VISSI4,0
06FCvd7rrRcF3DdvWH5Isp,64
06FVwC9lTks2JmCO9IKB4H,0
06FXaDDdg0BzXl15cthMS5,38
06G1SCVVYRSDCFGMSnDvpv,51
06Gw7kfyHyY25KujDOCzEZ,0
06Gyf2pFDVmN5K8XAawG96,52
06IWtDiU8D6DK8vSU072pa,38
06JF3LCOBbguprTXrmepjg,48
06JUqqRrQZuOW93fNvJrRV,0
06JooBbucchucT6w3HaMlR,43
06KTcf9q6ef0rEYPgjOKl3,0
06KekGZvtU7s9iOQPPYPu6,0
06Kjjp7QsrsM0cHlCepBwV,0
06LYspI7qW6M9aGUQJKQUv,13
06LZcxlNSBZmYQGdgKTfzQ,42
06MlTaZsyGJRm6c9Cs13Dn,0
06N4mDGXeqKcc3oH1ZLvfK,22
06N5VbXxQc5sYEIjCYTPY0,12
06TqBu4Vi2DEu2F2wNTEnb,0
06TuMCjDEYjTOJScCRzmjf,62
06UFJgQqTdS7dBgDZtzapX,30
06UPCXzhIsXnceSXmKLMEY,55
06UVb2bREPv8hvioVkaMvC,50
06VFJ6o6ywoSdrSWMZMIoN,42
06W9lAkSw72ppybh379fmo,32
06WD650Zt5MQ55kFMP2f3r,0
06WH4YIbuVcRNEQdiYIj3U,0
06WohfoFEUa5faNy8f9S5N,58
06Wrhgcqj4sQeMRKxtcuGg,26
06X1J1lPc0boVEpxG6UOCB,0
06X7ui4DuQVTdk9PwzAM3D,0
06XA0QWElEXwQBTBhdM0oE,32
06Y1ZlTO8tO0vVrN4rSfNc,6
06YPnktvcLxVopw6xfW5rc,47
06ZDLodo1UDVavc3MXREZ3,55
06ZvM9JKoDz49b8TapaXlZ,0
06Zz2l7cVTCTgCNDe1bnEF,63
06aihj0Y7ENKLzgMC4535s,21
